society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,latitude,longitude
m3m the marina,Sector 68 ,1.6,12851.0,2,2,3,14,North,Relatively New,1145.0,0,0,0,0,1,Furnished,12,28.376011294547,77.043588862517
mapsko mount ville,Sector 79 ,2.15,14430.0,3,3,3,16,East,Relatively New,1160.0,0,0,0,0,1,Furnished,22,28.36149444444445,76.97010277777778
hero homes,Sector 104 ,2.0,14717.0,3,2,2,10,South-West,New Property,1164.0,0,0,0,0,1,Semi-Furnished,6,28.484041666666663,76.993825
eldeco accolade,Sohna,1.7,9709.0,3,3,3+,7,East,Relatively New,1391.0,0,0,0,0,1,Semi-Furnished,4,28.2603698,77.0639985
sbtl caladium,Sector 109 ,2.15,8583.0,3,4,3+,11,East,Moderately Old,2200.0,0,1,0,1,0,Semi-Furnished,24,28.50767777777778,77.00345555555556
bptp amstoria verti greens,Sector 102 ,4.5,18300.0,3,3,3,21,East,Under Construction,2192.0,1,0,0,0,0,Unknown,14,28.47189737214471,76.97621308769983
godrej air,Sector 85 ,3.0,21802.0,3,3,3,10,East,New Property,1582.0,0,1,0,0,0,Furnished,0,28.405549643695185,76.95156519629747
godrej air,Sector 85 ,3.9,15006.0,4,4,3+,10,North-East,New Property,2987.0,0,1,0,0,0,Unknown,0,28.40619735340017,76.95247873035478
greenopolis,Sector 89 ,1.64,8586.0,3,3,3,5,North-East,Relatively New,1450.0,0,1,0,0,1,Unknown,25,28.41606388888889,76.94868333333334
tulip violet,Sector 69 ,2.85,14467.0,4,4,2,12,North,Relatively New,1810.0,0,0,0,0,1,Furnished,18,28.39256157309136,77.03324198884982
m3m escala,Sector 70A ,2.3,14024.0,2,2,3,2,North-East,Relatively New,1462.0,1,0,0,0,0,Semi-Furnished,3,28.382197222222224,77.02018611111112
paras irene,Sector 70A ,2.8,15301.0,3,3,3,6,North-East,Relatively New,2103.0,1,1,1,1,0,Semi-Furnished,0,28.38563333333333,77.01679166666666
ireo skyon,Sector 60 ,4.01,19609.0,3,4,3,5,North-West,Relatively New,1823.0,0,1,0,0,0,Semi-Furnished,22,28.40074264943119,77.09677207366524
lotus elise,Sector 99 ,1.85,12542.0,2,3,3,1,North,Relatively New,1695.0,0,1,0,0,0,Semi-Furnished,10,28.454345694444445,76.96111297222222
conscient parq,Sector 80 ,3.5,15909.0,3,3,3,19,North,Under Construction,1961.0,0,1,0,0,0,Unknown,0,28.37396,76.96149
lotus elise,Dwarka Expressway ,2.49,12000.0,3,4,3+,3,East,Relatively New,2385.0,0,1,0,0,0,Unknown,10,28.45553777777777,76.96154783333334
godrej air,Sector 85 ,2.6,14016.0,3,3,3,19,West,New Property,1617.0,0,1,0,0,0,Unknown,0,28.410371777777776,76.950325
emaar gurgaon greens,Sector 102 ,1.95,11818.0,3,4,3,7,North-East,Relatively New,1471.0,0,1,0,0,0,Semi-Furnished,5,28.4725902,76.9653862
sare homes,Sector 92 ,1.73,8278.0,4,4,3,12,West,Relatively New,1868.0,0,1,0,0,0,Semi-Furnished,14,28.412069416787023,76.91156912528018
emaar palm gardens,Sector 83 ,2.15,12500.0,3,3,3,10,North,Relatively New,1400.0,0,1,0,0,0,Semi-Furnished,25,28.3948,76.97563159972222
unitech uniworld gardens 2,Sector 47 ,1.43,14343.0,2,2,2,4,North-East,Moderately Old,933.0,0,0,0,1,0,Semi-Furnished,25,28.42477225,77.04324338888888
unitech escape,Nirvana Country,5.15,17127.0,4,6,3+,G,West,Old Property,3056.0,0,1,0,0,1,Unknown,4,28.40817990146109,77.05965685755058
bptp freedom park life,Sector 57 ,3.6,15700.0,3,4,3,5,North,Moderately Old,2044.0,0,1,0,0,0,Semi-Furnished,3,28.423459,77.07008397222222
vatika seven elements,Sector 89 A ,1.6,9726.0,2,2,2,3,East,Relatively New,1600.0,0,1,0,0,0,Semi-Furnished,25,28.4293302,76.9425769
m3m golfestate,Sector 65 ,10.5,26185.0,3,3,3+,9,East,Relatively New,3031.0,1,1,1,1,0,Furnished,20,28.4004894,77.0659103
bptp terra,Sector 37D ,2.1,11596.0,3,3,3,14,North-East,Relatively New,1502.0,0,0,1,0,0,Semi-Furnished,0,28.45661094322222,76.97367221116667
m3m heights,Sector 65 ,2.5,19826.0,2,2,3,21,North-East,Relatively New,1200.0,0,0,0,0,1,Semi-Furnished,20,28.406390461567334,77.06639920407021
vatika gurgaon 21,Sector 83 ,1.35,10843.0,2,2,2,G,East,Moderately Old,1110.0,0,0,0,0,1,Semi-Furnished,23,28.394186,76.968995
ats kocoon,Sector 109 ,2.3,13181.0,3,3,3,8,North-East,Moderately Old,1550.0,1,1,1,1,0,Semi-Furnished,25,28.508702777777778,77.00225
unitech fresco,Nirvana Country,2.8,15427.0,3,3,3+,6,East,Old Property,1450.0,0,1,0,0,0,Furnished,17,28.4152,77.05976111111111
emaar gurgaon greens,Sector 102 ,2.2,13333.0,3,3,3,8,East,Moderately Old,1323.0,0,1,0,0,0,Semi-Furnished,3,28.472751177073864,76.96548812091619
m3m the marina,Sector 68 ,1.55,12302.0,2,2,2,6,North-East,Relatively New,1000.0,0,0,1,0,0,Semi-Furnished,14,28.376041666666666,77.04365277777778
dlf new town heights 1,Sector 90 ,2.15,11140.0,3,3,3+,17,North-West,Relatively New,1720.0,0,1,0,1,0,Unknown,0,28.40654939972222,76.93042069972223
dlf new town heights 1,Sector 90 ,3.0,11001.0,4,4,3+,17,South,Relatively New,2430.0,0,1,0,1,0,Unknown,0,28.40347829972222,76.93070659972223
ramprastha the edge towers,Sector 37D ,1.5,8475.0,3,3,3+,2,North-East,New Property,1500.0,1,1,0,1,1,Semi-Furnished,6,28.4469811,76.9694183
dlf new town heights 1,Sector 90 ,2.55,10787.0,4,4,3+,6,South-West,Moderately Old,2074.0,0,1,0,1,0,Unknown,0,28.40703639972222,76.9296221
conscient elevate,Sector 59 ,4.99,23819.0,3,3,2,9,East,New Property,1600.0,0,1,0,0,0,Semi-Furnished,16,28.40510377502933,77.10415327571658
mapsko royale ville,Sector 82 ,2.3,10000.0,3,5,3+,7,East,Relatively New,1973.0,0,1,0,0,0,Semi-Furnished,1,28.39613997709036,76.9631805355321
bestech park view spa next,Sector 67 ,3.3,14043.0,4,4,3+,14,West,Moderately Old,2094.0,0,1,0,1,0,Semi-Furnished,0,28.388808626416665,77.05630168319445
emaar palm gardens,Sector 83 ,2.25,13081.0,3,3,3,4,North-East,Relatively New,1396.0,0,1,0,0,0,Semi-Furnished,24,28.394973799722223,76.9742537
la vida by tata housing,Sector 113  ,1.85,14498.0,2,2,3,6,South,Relatively New,1050.0,0,1,0,0,0,Unknown,16,28.5341099,77.02020219972222
adani m2k oyster grande,Sector 102 ,5.7,12533.0,4,5,3,5,East,Relatively New,4232.0,0,1,0,0,0,Semi-Furnished,12,28.4827783,76.9741731
adani m2k oyster grande,Sector 102 ,2.6,13764.0,3,3,3,8,East,Relatively New,1684.0,0,1,0,0,0,Semi-Furnished,10,28.48132222222222,76.97341111111112
indiabulls enigma,Sector 110 ,4.85,14265.0,4,5,3,5,North-East,Relatively New,3030.0,0,1,0,0,0,Semi-Furnished,0,28.5022447,77.0111364
godrej icon,Sector 88A ,2.57,11998.0,3,4,3+,2,North-East,Relatively New,1909.0,0,1,0,0,0,Unknown,2,28.4323228,76.94948739972223
indiabulls centrum park,Sector 103 ,1.95,10263.0,3,3,3+,5,East,Relatively New,1693.0,0,1,0,0,0,Semi-Furnished,0,28.4990247,76.9834316
adani m2k oyster grande,Sector 102 ,2.55,13499.0,3,3,3,7,North-East,Relatively New,1739.0,0,1,0,1,0,Semi-Furnished,24,28.48101668350211,76.97253969140749
bestech park view city 2,Sector 49 ,3.3,17751.0,3,4,3+,5,North-East,Old Property,1857.0,0,1,0,0,0,Semi-Furnished,0,28.403369804529536,77.04550396758174
bestech park view spa next,Sector 67 ,3.1,15696.0,3,4,2,5,East,Relatively New,1888.0,0,1,0,0,0,Semi-Furnished,8,28.39115532702428,77.057074257077
unitech uniworld city,Sector 30 ,5.8,20480.0,4,4,3,8,South,Old Property,3255.0,0,1,1,0,0,Semi-Furnished,4,28.458422,77.057176
ashiana anmol,Sohna,1.42,11784.0,2,2,2,8,North-East,New Property,1074.0,0,1,1,0,0,Unknown,3,28.2894511,77.0667834
unitech fresco,Nirvana Country,2.05,13758.0,2,2,3+,8,East,Relatively New,1407.0,0,0,0,1,0,Semi-Furnished,7,28.4078267,77.0597537
unitech harmony,Nirvana Country,4.7,14204.0,4,4,3,9,East,Moderately Old,3300.0,0,1,0,1,0,Furnished,24,28.4112682,77.0586908
parsvnath exotica,Sector 53 ,5.7,20917.0,3,4,3,7,North-West,Moderately Old,2500.0,0,1,0,0,0,Unknown,7,28.443177777777777,77.0983111111111
awho sispal vihar,Sector 49 ,2.65,12619.0,3,3,3+,6,North-West,Moderately Old,1850.0,0,0,0,1,0,Semi-Furnished,45,28.4171403,77.0432806
signature global the millennia 2,Sector 37D ,0.73,9733.0,2,2,3,6,East,New Property,652.0,0,0,0,1,0,Semi-Furnished,0,28.452991666666662,76.97666111111111
the close south,Nirvana Country,5.35,18203.0,4,5,3+,11,West,Moderately Old,2930.0,0,1,0,0,0,Semi-Furnished,24,28.4112862,77.0687737
signature global orchard avenue 2,Hayatpur,0.62,11503.0,2,2,3,7,East,Relatively New,620.0,0,1,0,0,0,Unknown,0,28.41436536629586,76.93141359526716
ramprastha the edge towers,Sector 37D ,1.59,8983.0,3,3,3,12,North-East,Relatively New,1570.0,0,0,0,0,1,Semi-Furnished,0,28.4476751,76.96912880000001
smart world gems,Sector 89 ,1.48,12385.0,2,2,2,4,East,New Property,1100.0,1,0,1,0,0,Semi-Furnished,10,28.421078,76.94965797222223
hero homes,Sector 104 ,2.5,14802.0,3,3,3,28,North,New Property,1464.0,0,0,0,1,0,Semi-Furnished,6,28.483016666666664,76.99359722222222
ireo the corridors,Sector 67A ,2.96,15337.0,3,3,2,7,East,Relatively New,2218.0,0,1,0,0,0,Semi-Furnished,0,28.38245555555556,77.06695277777777
bestech altura,Sector 79 ,2.4,11707.0,3,3,2,9,North-East,New Property,1850.0,0,1,0,0,0,Semi-Furnished,24,28.355802099722226,76.9738705
divya apartment,Sector 56 ,2.5,11364.0,3,3,3,6,West,Old Property,1957.0,0,1,0,0,0,Semi-Furnished,0,28.4207469,77.09766709972222
smartworld one dxp,Sector 113  ,5.15,19854.0,3,3,2,4,West,Under Construction,2008.0,1,0,1,0,1,Semi-Furnished,0,28.53206682313716,77.03099371017133
tulip yellow,Sector 69 ,2.2,12903.0,3,3,3,17,North,New Property,1705.0,1,0,1,0,1,Unknown,6,28.3945276,77.0364161
emaar palm gardens,Sector 83 ,2.55,13784.0,3,3,3+,6,East,Relatively New,1649.0,0,1,0,0,0,Semi-Furnished,6,28.39598611111111,76.97481388888889
sare homes,Sector 92 ,1.73,8278.0,4,4,3,9,North,Relatively New,2402.0,0,1,0,0,0,Unknown,11,28.41244886111111,76.91088866666668
godrej meridien,Sector 106 ,2.53,18603.0,3,3,3,19,North-East,New Property,1563.0,0,1,0,0,0,Semi-Furnished,23,28.511386533388897,76.98399089569918
paras dews,Sector 106 ,1.85,9737.0,3,4,3,6,North-East,Relatively New,1305.0,1,1,0,0,0,Semi-Furnished,0,28.497772222222224,76.9991888888889
smart world gems,Sector 89 ,1.6,10710.0,3,3,2,1,East,New Property,1332.0,1,0,1,0,0,Semi-Furnished,9,28.4213387,76.9473031
sobha city,Sector 108 ,4.85,19926.0,4,4,3+,9,North-East,New Property,1993.0,1,1,0,1,1,Furnished,22,28.51689015323721,76.99603724077599
omaxe the nile,Sector 49 ,3.15,15314.0,3,3,3,G,North-East,Moderately Old,2364.0,0,1,0,0,0,Semi-Furnished,14,28.4096052,77.0496728
vatika city,Sector 49 ,5.35,17839.0,4,5,3+,11,North,Old Property,2336.11,0,1,0,0,0,Semi-Furnished,3,28.4064384,77.0484726
godrej air,Sector 85 ,2.85,13387.0,3,4,3+,5,North-West,New Property,1845.0,1,1,1,1,0,Semi-Furnished,0,28.40940780823112,76.95118553213851
bestech park view city,Sector 48 ,3.7,17831.0,3,4,3+,10,North-East,Old Property,1849.0,1,1,0,0,0,Semi-Furnished,0,28.40408242822222,77.04108819366667
birla navya,Sector 63A ,2.6,21667.0,2,2,2,3,North-East,New Property,1379.0,1,1,0,0,0,Semi-Furnished,3,28.3942188,77.0951896
m3m soulitude,Sector 89 ,1.7,11379.0,3,3,2,4,North-East,New Property,1717.0,1,1,0,1,0,Semi-Furnished,0,28.417397222222224,76.95208055555555
mapsko mount ville,Sector 79 ,2.1,13907.0,3,3,2,10,East,Moderately Old,1510.0,1,1,0,1,0,Unknown,1,28.361634599722223,76.96993829972223
ramprastha primera,Sector 37D ,1.8,10000.0,3,3,3+,9,North-East,Relatively New,1604.0,1,1,0,1,0,Semi-Furnished,0,28.4527354,76.9732148
smart world gems,Sector 89 ,1.62,10843.0,3,3,2,3,East,New Property,1332.0,1,0,0,0,1,Unknown,6,28.422994444444445,76.94731111111112
emaar mgf emerald floors premier,Sector 65 ,4.1,20759.0,4,4,3+,2,North-West,New Property,1760.0,1,1,0,0,0,Semi-Furnished,0,28.3981471,77.069687
smart world gems,Sector 89 ,1.66,11111.0,3,3,2,4,East,New Property,1332.0,1,0,0,0,1,Unknown,6,28.42291376546516,76.94649206974572
m3m escala,Sector 70A ,3.3,15349.0,3,4,3+,10,East,Relatively New,1916.0,0,1,0,1,0,Semi-Furnished,4,28.38222853688889,77.02021859586111
tulip monsella,Sector 53 ,8.53,29495.0,3,4,2,32,North-East,New Property,2235.0,0,1,0,0,0,Furnished,0,28.43704444444445,77.10061666666667
bptp spacio,Sector 37D ,1.35,12512.0,2,2,2,4,North-East,Moderately Old,879.0,0,1,0,0,0,Semi-Furnished,0,28.4532326,76.974606
dlf the pinnacle,DLF Phase 5,13.0,32672.0,4,4,3+,13,North,Moderately Old,3546.0,1,1,1,1,0,Furnished,0,28.45242777777778,77.09549722222222
m3m golf hills,Sector 79 ,3.46,18191.0,3,3,3,12,East,Under Construction,1695.0,1,0,0,0,0,Semi-Furnished,14,28.378663910063867,76.9933271282215
greenopolis,Sector 89 ,1.61,8429.0,3,3,3,6,East,Relatively New,1900.0,0,1,0,0,0,Unknown,25,28.416361,76.9469024
godrej air,Sector 85 ,2.95,13856.0,3,3,2,9,North-East,New Property,2447.0,0,1,0,0,0,Semi-Furnished,16,28.40558763884365,76.95107434169192
krisumi waterfall residences,Sector 36A ,3.85,19573.0,3,3,2,26,East,New Property,1100.0,0,1,0,0,0,Furnished,23,28.4172674,76.9741858
pioneer urban presidia,Sector 62 ,12.25,27042.0,5,7,3+,20,East,Relatively New,3829.0,1,1,0,1,1,Furnished,3,28.412124599722222,77.0897997
tulip yellow,Sector 69 ,2.32,13615.0,3,3,3+,12,East,New Property,1500.0,0,0,0,0,1,Unknown,10,28.39384722222222,77.03779722222222
ramprastha the edge towers,Sector 37D ,1.29,8042.0,3,3,3+,3,East,Relatively New,1430.0,0,0,0,0,1,Unknown,0,28.447514,76.9693579
emaar palm gardens,Sector 83 ,2.15,12500.0,3,3,3,12,South-East,Relatively New,1396.0,0,1,0,0,0,Semi-Furnished,0,28.39547777777777,76.97384444444445
dhoot time residency,Sector 63 ,4.3,18720.0,4,5,3+,8,East,Moderately Old,2290.0,0,1,0,0,1,Semi-Furnished,25,28.4009988,77.0900782
ramprastha the edge towers,Sector 37D ,1.08,7826.0,2,2,3,10,South-East,Relatively New,1310.0,0,0,0,0,1,Semi-Furnished,1,28.4479902,76.9697558
dlf new town heights 2,Sector 86 ,2.4,10187.0,4,4,3+,5,East,Relatively New,2100.0,0,1,0,1,0,Unknown,3,28.402241666666665,76.93836388888889
ireo uptown,Sector 66 ,3.91,19064.0,4,4,3,G,North,Moderately Old,2050.0,0,1,0,0,1,Semi-Furnished,6,28.39843261386111,77.06001285463888
dlf new town heights 2,Sector 86 ,2.6,10998.0,4,4,3+,6,South-West,Moderately Old,2137.0,0,1,0,1,0,Unknown,0,28.4026192,76.9379732
smart world orchard,Sector 61 ,2.55,15179.0,3,3,3,3,South-East,Relatively New,1931.0,1,0,0,0,0,Semi-Furnished,0,28.40900555555556,77.100175
m3m the marina,Sector 68 ,1.5,11905.0,2,2,2,21,West,Relatively New,1123.0,1,0,0,0,0,Semi-Furnished,21,28.376011294547,77.043588862517
godrej meridien,Sector 106 ,2.3,16837.0,2,2,2,19,North-East,Relatively New,1217.0,1,0,0,0,0,Unknown,9,28.51612280555556,76.99389647222222
ireo the grand arch,sector 58 ,3.3,24000.0,2,2,1,18,South-East,Relatively New,1159.0,0,0,0,1,0,Semi-Furnished,0,28.4130178,77.1139517
conscient elevate,Sector 59 ,6.22,24556.0,4,4,3,L,South-West,New Property,2911.0,1,1,1,1,0,Semi-Furnished,6,28.404535555555555,77.10950305555555
ireo skyon,Sector 60 ,5.49,19607.0,4,4,3,16,East,Relatively New,2495.0,0,1,0,0,0,Semi-Furnished,16,28.3993257,77.0958293
lord krishna cghs,Sector 43 ,4.45,13485.0,4,4,3+,12,South,Moderately Old,2800.0,0,0,1,0,0,Semi-Furnished,6,28.4515045,77.0922973
emaar palm gardens,Sector 83 ,2.6,13333.0,3,4,3+,8,North-East,Moderately Old,1586.0,1,1,0,0,0,Semi-Furnished,24,28.394973799722223,76.9742537
experion windchants,Sector 112 ,5.1,18201.0,3,3,3,8,North,Moderately Old,2225.56,0,1,0,0,0,Semi-Furnished,4,28.5197928,77.0170478
oriental valley chs,Sector 9A ,1.9,8636.0,4,3,3+,2,West,Moderately Old,2072.0,0,1,0,0,0,Semi-Furnished,16,28.466522,76.98882997222222
ireo skyon,Sector 60 ,4.25,20782.0,3,4,3+,5,North,Moderately Old,1823.0,1,0,0,0,0,Semi-Furnished,0,28.4001921,77.0957819
dlf the belaire,Sector 54 ,11.5,37520.0,4,5,2,8,East,Moderately Old,3065.0,0,1,0,0,0,Semi-Furnished,13,28.449199,77.10149799999999
experion the heartsong,Sector 108 ,2.5,12481.0,3,4,3+,5,North,Moderately Old,1500.29,0,1,1,1,0,Semi-Furnished,22,28.5126947,76.9859162
dlf the primus,Sector 82A ,4.5,17268.0,4,4,3+,9,North-East,Relatively New,2605.0,1,0,0,0,0,Furnished,5,28.3860702,76.9661405
hero homes,Sector 104 ,1.63,14832.0,2,2,2,7,North-East,New Property,939.0,1,0,0,0,0,Unknown,13,28.4838564,76.993524
ramprastha the edge towers,Sector 37D ,1.17,8478.0,2,2,3,12,North-East,Moderately Old,1161.0,1,0,0,0,0,Semi-Furnished,3,28.44673055555556,76.96935555555555
the close south,Nirvana Country,4.5,17780.0,3,4,3+,10,East,Moderately Old,2530.0,0,1,0,0,0,Semi-Furnished,24,28.411179,77.0682802
central park flower valley aqua front towers,Sector-33 Sohna,2.65,14813.0,3,3,3+,6,South,Relatively New,1594.0,0,1,0,0,0,Semi-Furnished,17,28.28536111111111,77.0727111111111
signature global orchard avenue 2,Sector 93 ,0.62,7390.0,2,2,3,7,East,Relatively New,739.0,0,1,0,0,0,Unknown,0,28.414225,76.931075
vipul belmonte,Sector 53 ,13.75,35032.0,5,5,3+,10,East,Relatively New,3498.0,0,1,0,0,0,Furnished,3,28.44063333333333,77.10173333333333
emaar mgf the palm drive,Sector 66 ,3.9,20000.0,3,3,2,10,North,Relatively New,1920.0,0,1,0,0,0,Semi-Furnished,10,28.401487780232987,77.0512269006822
godrej air,Sector 85 ,3.6,13851.0,4,4,3+,8,North,Relatively New,2987.0,1,1,1,1,0,Semi-Furnished,21,28.407441666666664,76.95117777777779
krisumi waterfall residences,Sector 36A ,4.7,18519.0,3,3,3,18,West,New Property,1893.0,0,1,0,0,0,Semi-Furnished,9,28.41757963888889,76.97566222222223
sare homes,Sector 92 ,1.85,8557.0,4,4,3,7,East,Relatively New,2162.0,0,1,0,0,0,Unknown,15,28.411856,76.9128546
smartworld the edition,Sector 66 ,7.3,29061.0,4,3,3,10,North-East,Under Construction,2887.0,1,1,1,1,0,Semi-Furnished,5,28.400392,77.057618
conscient elevate,Sector 59 ,8.7,25626.0,4,5,2,11,East,New Property,3000.0,0,1,0,0,0,Semi-Furnished,6,28.4082726,77.1058898
unitech fresco,Nirvana Country,2.45,15040.0,3,2,3,12,North-East,Moderately Old,1570.0,1,0,0,0,0,Semi-Furnished,20,28.4152,77.05976111111111
signature global de luxe dxp,Sector 37D ,4.3,16393.0,3,3,3,14,North-East,Under Construction,2623.0,1,0,0,0,0,Unknown,0,28.44588,76.96717
unitech harmony,Pocket H Nirvana Country,2.75,15320.0,2,2,2,8,East,Moderately Old,1790.0,1,0,0,0,0,Furnished,0,28.410083,77.0581006
parsvnath exotica,Sector 53 ,5.95,21835.0,3,4,3,9,North-East,Moderately Old,2500.0,0,1,0,0,0,Unknown,0,28.443394444444444,77.09859166666666
ireo uptown,Sector 66 ,3.0,17804.0,3,3,3,7,West,Moderately Old,1680.0,0,1,0,0,0,Semi-Furnished,11,28.39627889701069,77.05871105331983
parsvnath exotica,Sector 53 ,6.5,22453.0,3,4,3+,9,North,Moderately Old,2500.0,0,1,0,1,0,Semi-Furnished,21,28.44287917785484,77.0965791933436
sare crescent parc,Sector 92 ,2.1,10048.0,4,4,3+,14,East,Relatively New,2402.0,0,1,0,0,0,Semi-Furnished,10,28.412703944286,76.914061602923
"maruti kunj , bhondsi",Sohna Road,1.35,11250.0,3,3,3,1,East,Old Property,1379.0,0,0,0,1,0,Furnished,0,28.4317031,77.0361832
dlf regal gardens,Sector 90 ,2.02,11477.0,3,3,3,4,North-East,New Property,1750.0,0,0,0,1,0,Unknown,24,28.40719030555556,76.93521880555556
elan the presidential,Sector 106 ,7.04,17192.0,5,5,3+,16,North,Relatively New,2678.0,0,1,0,0,0,Unknown,2,28.479251,76.973697
smart world gems,Sector 89 ,1.3,12381.0,2,2,2,3,East,New Property,750.0,1,0,0,0,0,Unknown,24,28.421490099722224,76.94967909972223
dlf new town heights 1,Sector 90 ,2.1,10881.0,3,3,3+,10,East,Moderately Old,1720.0,0,1,1,0,0,Semi-Furnished,0,28.407716666666666,76.92993055555556
central park resorts,Sector 48 ,4.25,29972.0,2,2,3,8,East,Moderately Old,1264.0,0,0,1,0,0,Semi-Furnished,0,28.4247142,77.0333038
godrej air,Sector 85 ,3.58,13775.0,4,4,3,12,East,New Property,2987.0,0,1,0,0,0,Unknown,0,28.4069594,76.9511134
hero homes,Sector 104 ,2.56,15157.0,3,3,3+,4,North-East,New Property,1464.0,0,0,1,1,0,Semi-Furnished,15,28.483669444444445,76.99443611111111
adani m2k oyster grande,Sector 102 ,3.4,13183.0,3,3,3,12,North-East,Relatively New,2299.0,1,1,0,0,0,Semi-Furnished,0,28.48291111111111,76.97576944444445
shree vardhman victoria,Sector 70 ,2.3,11795.0,3,5,3,2,North-East,Relatively New,1850.0,0,1,0,1,0,Semi-Furnished,13,28.393830344340586,77.0174050619572
sobha city,Sector 108 ,4.2,20969.0,3,4,2,8,North-East,New Property,1628.0,1,1,0,1,1,Furnished,0,28.5168756,76.995936
dlf new town heights 2,Sector 86 ,2.07,10725.0,3,3,3,11,North,Old Property,1722.0,0,1,0,1,0,Unknown,7,28.403050895555136,76.93889031071066
4s the aurrum,Sector 59 ,5.25,20008.0,3,5,3+,19,East,Under Construction,2204.0,1,1,0,0,1,Furnished,17,28.399965,77.10571
godrej air,Sector 85 ,1.9,13514.0,2,2,3,16,East,New Property,1200.0,1,1,0,0,1,Furnished,25,28.40818259972222,76.9505259
ireo victory valley,Sector 67 ,4.95,19588.0,3,3,3,15,North-East,Moderately Old,2252.0,0,1,0,0,0,Semi-Furnished,3,28.38974444444444,77.06178333333332
bestech altura,Sector 79 ,3.4,12710.0,4,5,2,8,East,New Property,2384.0,0,1,0,0,1,Semi-Furnished,0,28.3561742,76.9738648
"sector 62 ,emaar new project",Nangli Umarpur,5.9,35823.0,4,4,3,22,East,Under Construction,1893.0,0,1,0,0,1,Unknown,0,28.406915,77.081899
rof ananda,Sector 95 ,0.68,10559.0,3,2,1,9,East,Relatively New,740.0,0,1,0,0,1,Semi-Furnished,3,28.415024264227693,76.9054289729557
tata gurgaon gateway,Sector 112 ,2.5,15823.0,2,2,2,13,East,Relatively New,1408.0,1,0,0,0,0,Semi-Furnished,0,28.5322189,77.0186441
pyramid heights,Sector 85 ,0.68,11506.0,2,2,1,11,East,Relatively New,679.0,0,0,0,1,0,Unknown,0,28.4059556,76.9475218
antriksh heights,Sector 84 ,2.2,8478.0,4,4,3+,13,East,Moderately Old,2530.0,0,1,0,0,0,Semi-Furnished,0,28.4040844,76.9633078
conscient heritage max,Sector 102 ,2.4,12429.0,3,4,3+,8,North-East,Relatively New,1721.0,0,1,0,0,0,Semi-Furnished,0,28.48041111111111,76.96858333333334
paras dews,Sector 106 ,1.75,9943.0,3,4,3+,15,West,Relatively New,1186.0,0,1,0,0,0,Unknown,25,28.4987352,77.0000388
la vida by tata housing,Sector 113  ,2.5,15833.0,3,3,3,8,East,Moderately Old,1407.0,0,1,0,0,0,Unknown,0,28.534468200000003,77.0202962
emaar mgf the palm drive,Sector 66 ,4.25,21795.0,3,3,2,10,North,Moderately Old,1920.0,0,1,0,0,0,Semi-Furnished,25,28.4008748,77.0526685
parsvnath exotica,Sector 53 ,10.5,22508.0,5,6,3+,13,North,Moderately Old,4158.0,1,1,1,1,0,Furnished,22,28.44422777777778,77.10044444444443
sare homes,Sector 92 ,1.69,8942.0,4,4,3,3,North-East,Relatively New,1684.0,1,1,1,1,0,Unknown,9,28.4125186915,76.91280853002779
pioneer park,Sector 61 ,4.8,19688.0,4,4,3,7,North-East,Moderately Old,2351.0,1,1,0,1,0,Semi-Furnished,5,28.413183333333333,77.0922611111111
tata primanti,Sector 72 ,5.1,17556.0,4,5,3+,39,East,New Property,2200.0,0,1,0,0,0,Semi-Furnished,0,28.4069866,77.0365564
tulip yellow,Sector 69 ,2.33,13674.0,3,3,3+,14,East,New Property,1500.0,0,0,0,0,1,Unknown,10,28.39377222222222,77.03576388888888
unitech fresco,Nirvana Country,2.82,15024.0,3,4,3+,4,East,Moderately Old,1870.0,0,1,0,0,0,Furnished,14,28.41542831408198,77.05949485117819
m3m woodshire,Sector 107 ,2.0,8471.0,3,4,3+,6,North-East,Relatively New,2104.0,0,1,0,0,0,Semi-Furnished,6,28.51407777777778,76.97360555555555
pioneer urban presidia,Sector 62 ,9.9,22827.0,5,5,2,25,North-East,Moderately Old,4985.0,0,1,0,0,0,Unknown,3,28.4118843,77.0904663
ramprastha the edge towers,Sector 37D ,1.28,8000.0,3,3,3+,5,South,Relatively New,1350.0,0,0,0,0,1,Unknown,1,28.4469811,76.9694183
dlf the icon,DLF Phase 5,8.5,33010.0,4,4,3,9,North,Old Property,2570.0,0,1,0,1,1,Semi-Furnished,9,28.4516863,77.0936204
conscient elevate,Sector 59 ,6.25,24085.0,3,3,2,18,East,New Property,1979.0,1,1,0,0,0,Semi-Furnished,17,28.408887436343853,77.1052089734519
dlf new town heights 1,Sector 90 ,2.0,10363.0,3,3,3,4,West,Moderately Old,1720.0,0,1,0,0,0,Semi-Furnished,3,28.40819547222222,76.93152616666667
pioneer araya,Sector 62 ,16.0,34115.0,4,5,3+,15,East,Relatively New,4690.0,0,1,0,0,0,Semi-Furnished,0,28.4119211,77.0883655
hero homes,Sector 104 ,1.95,14349.0,3,2,2,17,West,Relatively New,1164.0,0,1,0,0,0,Unknown,0,28.48218611111111,76.99403333333333
emaar digihomes,Sector 62 ,5.5,21252.0,3,3,3,13,North,Relatively New,1900.0,0,1,0,0,0,Semi-Furnished,0,28.404122,77.08581939999999
